country,lat,lng,type,beds,population,year
MU,-20.28,57.55,TOTAL,3.4,1252404,2011
MW,-13.5,34,TOTAL,1.3,14962112,2011
MY,2.5,112.5,TOTAL,1.9,30270962,2015
NA,-22,17,TOTAL,2.7,2081044,2009
NE,16,8,TOTAL,0.3,20001663,2015
NG,10,8,TOTAL,0.5,135320422,2004
NI,13,-85,TOTAL,0.9,6142733,2014
NL,52.5,5.75,TOTAL,4.7,16530388,2009
NO,62,10,TOTAL,3.9,5079623,2013
NP,28,84,TOTAL,0.3,26989862,2012
NR,-0.53,166.92,TOTAL,5,10005,2010
NZ,-41,174,TOTAL,2.8,4442100,2013
OM,21,57,TOTAL,1.6,4027260,2014
PK,30,70,TOTAL,0.6,195306825,2014
PA,9,-80,TOTAL,2.3,3835437,2013
PE,-10,-76,TOTAL,1.6,30090359,2014
PH,13,122,TOTAL,1,95570047,2011
PW,7.5,134.5,TOTAL,4.8,17955,2010
PG,-6,147,TOTAL,4.0242,4615839,1990
PL,52,20,TOTAL,6.5,38040196,2013
PR,18.25,-66.5,TOTAL,3.32,3724655,1996
KP,40,127,TOTAL,13.2,24800612,2012
PT,39.5,-8,TOTAL,3.4,10457295,2013
PY,-23,-58,TOTAL,1.3,6333976,2011
PS,32,35.25,TOTAL,1.2,2588000,1996
QA,25.5,51.25,TOTAL,1.2,2459198,2014
RO,46,25,TOTAL,6.3,19983693,2013
RU,60,100,TOTAL,8.2,143506911,2013
RW,-2,30,TOTAL,1.6,9273757,2007
SA,25,45,TOTAL,2.7,30916994,2014
SD,15,30,TOTAL,0.8,37072550,2013
SN,14,-14,TOTAL,0.3,12004701,2008
SG,1.37,103.8,TOTAL,2.4,5535002,2015
SB,-8,159,TOTAL,1.4,556064,2012
SL,8.5,-11.5,TOTAL,0.4,5829237,2006
SV,13.83,-88.92,TOTAL,1.3,6295128,2014
SM,43.77,12.42,TOTAL,3.8,32105,2012
SO,10,49,TOTAL,0.9,13423576,2014
RS,44,21,TOTAL,5.7,7199077,2012
ST,1,7,TOTAL,2.9,184524,2011
SR,4,-56,TOTAL,3.1,529131,2010
SK,48.67,19.5,TOTAL,5.8,5423801,2015
SI,46,15,TOTAL,4.6,2059953,2013
SE,62,15,TOTAL,2.6,9600379,2013
SZ,-26.5,31.5,TOTAL,2.1,1072000,2011
SC,-4.58,55.67,TOTAL,3.6,87441,2011
SY,35,38,TOTAL,1.5,18715672,2014
TD,15,19,TOTAL,0.4,10096633,2005
TG,8,1.17,TOTAL,0.7,6595943,2011
TH,15,100,TOTAL,2.1,67195028,2010
TJ,39,71,TOTAL,4.8,8059769,2013
TM,40,60,TOTAL,7.4,5366375,2013
TL,8.8742,125.7275,TOTAL,5.9,1093523,2010
TO,-20,-175,TOTAL,2.6,103986,2010
TT,11,-61,TOTAL,3,1362342,2014
TN,34,9,TOTAL,2.3,11179949,2015
TR,39,35,TOTAL,2.7,75928564,2013
TV,-8,178,TOTAL,5.6,9484,2001
TZ,-6,35,TOTAL,0.7,44346525,2010
UG,1,32,TOTAL,0.5,32428167,2010
UA,49,32,TOTAL,8.8,45489600,2013
UY,-33,-56,TOTAL,2.8,3400434,2014
US,38,-97,TOTAL,2.9,315993715,2013
UZ,41,64,TOTAL,4,30243200,2013
VC,13.25,-61.2,TOTAL,2.6,108861,2014
VE,8,-66,TOTAL,0.8,30045134,2014
VN,16,106,TOTAL,2.6,91714595,2014
VU,-16,167,TOTAL,1.7,224704,2008
WS,-13.58,-172.33,TOTAL,1,179727,2005
YE,15,48,TOTAL,0.7,25823485,2014
ZM,-15,30,TOTAL,2,13605984,2010
ZW,-20,30,TOTAL,1.7,12894316,2011
