country,state,county,lat,lng,type,beds,population,year
US,AL,morgan,32.318231,-86.902298,PSYCHIATRIC,0.621029,119157,2012
US,AL,pickens,32.318231,-86.902298,ACUTE,2.776401,20170,2018
US,AL,pike,32.318231,-86.902298,ACUTE,2.914051,33287,2018
US,AL,randolph,32.318231,-86.902298,ACUTE,1.509099,22530,2018
US,AL,russell,32.318231,-86.902298,ACUTE,1.19699,58480,2018
US,AL,russell,32.318231,-86.902298,OTHER,0.820793,58480,2018
US,AL,shelby,32.318231,-86.902298,ACUTE,1.207353,208721,2018
US,AL,shelby,32.318231,-86.902298,OTHER,0.464735,208721,2018
US,AL,st. clair,32.318231,-86.902298,ACUTE,0.460103,86937,2018
US,AL,sumter,32.318231,-86.902298,ACUTE,2.522164,13084,2018
US,AL,talladega,32.318231,-86.902298,ACUTE,3.52339,80888,2018
US,AL,tallapoosa,32.318231,-86.902298,ACUTE,3.116106,40756,2018
US,AL,tuscaloosa,32.318231,-86.902298,ACUTE,3.849842,204424,2018
US,AL,tuscaloosa,32.318231,-86.902298,OTHER,0.156537,204424,2018
US,AL,tuscaloosa,32.318231,-86.902298,PSYCHIATRIC,0.557664,204424,2018
US,AL,walker,32.318231,-86.902298,ACUTE,4.112311,64927,2018
US,AL,washington,32.318231,-86.902298,ICU,1.492894,16746,2018
US,AL,wilcox,32.318231,-86.902298,ACUTE,2.747504,10919,2018
US,AL,winston,32.318231,-86.902298,ACUTE,2.461615,23968,2018
US,AR,arkansas,35.20105,-91.831833,ICU,1.362249,18352,2018
US,AR,ashley,35.20105,-91.831833,ICU,1.588754,20771,2018
US,AR,baxter,35.20105,-91.831833,ACUTE,6.521792,41093,2018
US,AR,benton,35.20105,-91.831833,ACUTE,1.330299,251823,2016
US,AR,boone,35.20105,-91.831833,ACUTE,4.675911,37212,2018
US,AR,bradley,35.20105,-91.831833,ICU,3.183555,10994,2018
US,AR,carroll,35.20105,-91.831833,ICU,1.691743,27782,2018
US,AR,chicot,35.20105,-91.831833,ICU,2.271076,11008,2018
US,AR,chicot,35.20105,-91.831833,OTHER,1.362645,11008,2018
US,AR,clark,35.20105,-91.831833,ICU,1.111358,22495,2018
US,AR,clay,35.20105,-91.831833,ICU,1.64582,15190,2018
US,AR,cleburne,35.20105,-91.831833,ICU,0.985766,25361,2018
US,AR,columbia,35.20105,-91.831833,ACUTE,2.917639,23992,2018
US,AR,conway,35.20105,-91.831833,ICU,1.670325,20954,2018
US,AR,craighead,35.20105,-91.831833,ACUTE,5.477428,104246,2016
US,AR,craighead,35.20105,-91.831833,PSYCHIATRIC,0.575562,104246,2018
US,AR,crawford,35.20105,-91.831833,ACUTE,1.658108,62119,2018
US,AR,crittenden,35.20105,-91.831833,ACUTE,3.084541,49278,2012
US,AR,crittenden,35.20105,-91.831833,PSYCHIATRIC,1.095824,49278,2018
US,AR,cross,35.20105,-91.831833,ACUTE,1.456537,17164,2018
US,AR,dallas,35.20105,-91.831833,ICU,3.295979,7585,2018
US,AR,desha,35.20105,-91.831833,ACUTE,2.067141,12094,2018
US,AR,desha,35.20105,-91.831833,ICU,2.067141,12094,2018
US,AR,drew,35.20105,-91.831833,ACUTE,2.631579,18620,2018
US,AR,faulkner,35.20105,-91.831833,ACUTE,1.203806,121282,2018
US,AR,faulkner,35.20105,-91.831833,OTHER,0.214376,121282,2018
US,AR,fulton,35.20105,-91.831833,ICU,2.067483,12092,2018
US,AR,garland,35.20105,-91.831833,ACUTE,5.55136,97994,2018
US,AR,garland,35.20105,-91.831833,OTHER,1.04088,97994,2016
US,AR,greene,35.20105,-91.831833,ACUTE,2.91875,44197,2018
US,AR,hempstead,35.20105,-91.831833,ACUTE,3.565947,22154,2018
US,AR,hot spring,35.20105,-91.831833,ACUTE,2.986858,33480,2018
US,AR,howard,35.20105,-91.831833,ICU,1.855701,13472,2012
US,AR,independence,35.20105,-91.831833,ACUTE,5.364315,37097,2018
US,AR,izard,35.20105,-91.831833,ICU,1.848976,13521,2018
US,AR,jackson,35.20105,-91.831833,ACUTE,7.63096,17429,2018
US,AR,jefferson,35.20105,-91.831833,ACUTE,6.977428,71373,2018
US,AR,johnson,35.20105,-91.831833,ACUTE,3.058689,26155,2018
US,AR,lawrence,35.20105,-91.831833,ICU,1.490135,16777,2018
US,AR,little river,35.20105,-91.831833,ICU,2.00096,12494,2018
US,AR,logan,35.20105,-91.831833,ICU,1.880561,21802,2018
US,AR,miller,35.20105,-91.831833,PSYCHIATRIC,1.416819,43760,2018
US,AR,mississippi,35.20105,-91.831833,ACUTE,3.859053,43534,2018
US,AR,mississippi,35.20105,-91.831833,ICU,0.574264,43534,2018
US,AR,ouachita,35.20105,-91.831833,ACUTE,4.102059,24378,2018
US,AR,phillips,35.20105,-91.831833,ACUTE,7.941387,19518,2018
US,AR,pike,35.20105,-91.831833,ACUTE,2.937666,10893,2012
US,AR,polk,35.20105,-91.831833,ACUTE,3.215911,20212,2018
US,AR,pope,35.20105,-91.831833,ACUTE,2.682573,63372,2018
US,AR,pulaski,35.20105,-91.831833,ACUTE,6.597972,392848,2017
US,AR,pulaski,35.20105,-91.831833,OTHER,1.453488,392848,2018
US,AR,pulaski,35.20105,-91.831833,PSYCHIATRIC,0.407282,392848,2018
US,AR,randolph,35.20105,-91.831833,ACUTE,2.854859,17514,2018
