country,state,county,lat,lng,type,beds,population,year
US,AL,tuscaloosa,32.318231,-86.902298,ICU,0.410911,204424,2019
US,AL,walker,32.318231,-86.902298,ICU,0.184823,64927,2019
US,AL,washington,32.318231,-86.902298,ICU,0,16746,2019
US,AL,wilcox,32.318231,-86.902298,ICU,0,10919,2019
US,AL,winston,32.318231,-86.902298,ICU,0.166889,23968,2019
US,AR,arkansas,35.20105,-91.831833,ICU,0,18352,2019
US,AR,ashley,35.20105,-91.831833,ICU,0.288864,20771,2019
US,AR,baxter,35.20105,-91.831833,ICU,0.413696,41093,2019
US,AR,benton,35.20105,-91.831833,ICU,0.119131,251823,2019
US,AR,boone,35.20105,-91.831833,ICU,0.644953,37212,2019
US,AR,bradley,35.20105,-91.831833,ICU,0,10994,2019
US,AR,calhoun,35.20105,-91.831833,ICU,0,5194,2019
US,AR,carroll,35.20105,-91.831833,ICU,0,27782,2019
US,AR,chicot,35.20105,-91.831833,ICU,0,11008,2019
US,AR,clark,35.20105,-91.831833,ICU,0,22495,2019
US,AR,clay,35.20105,-91.831833,ICU,0,15190,2019
US,AR,cleburne,35.20105,-91.831833,ICU,0,25361,2019
US,AR,cleveland,35.20105,-91.831833,ICU,0,8332,2019
US,AR,columbia,35.20105,-91.831833,ICU,0.250083,23992,2019
US,AR,conway,35.20105,-91.831833,ICU,0,20954,2019
US,AR,craighead,35.20105,-91.831833,ICU,0.633118,104246,2019
US,AR,crawford,35.20105,-91.831833,ICU,0.128785,62119,2019
US,AR,crittenden,35.20105,-91.831833,ICU,0,49278,2019
US,AR,cross,35.20105,-91.831833,ICU,0,17164,2019
US,AR,dallas,35.20105,-91.831833,ICU,0,7585,2019
US,AR,desha,35.20105,-91.831833,ICU,0,12094,2019
US,AR,drew,35.20105,-91.831833,ICU,0.268528,18620,2019
US,AR,faulkner,35.20105,-91.831833,ICU,0.206131,121282,2019
US,AR,franklin,35.20105,-91.831833,ICU,0,17803,2019
US,AR,fulton,35.20105,-91.831833,ICU,0,12092,2019
US,AR,garland,35.20105,-91.831833,ICU,0.418393,97994,2019
US,AR,grant,35.20105,-91.831833,ICU,0,18076,2019
US,AR,greene,35.20105,-91.831833,ICU,0.181008,44197,2019
US,AR,hempstead,35.20105,-91.831833,ICU,0.361109,22154,2019
US,AR,hot spring,35.20105,-91.831833,ICU,0.179211,33480,2019
US,AR,howard,35.20105,-91.831833,ICU,0,13472,2019
US,AR,independence,35.20105,-91.831833,ICU,0.323476,37097,2019
US,AR,izard,35.20105,-91.831833,ICU,0,13521,2019
US,AR,jackson,35.20105,-91.831833,ICU,0,17429,2019
US,AR,jefferson,35.20105,-91.831833,ICU,0.476371,71373,2019
US,AR,johnson,35.20105,-91.831833,ICU,0.305869,26155,2019
US,AR,lafayette,35.20105,-91.831833,ICU,0,7051,2019
US,AR,lawrence,35.20105,-91.831833,ICU,0,16777,2019
US,AR,lee,35.20105,-91.831833,ICU,0,9614,2019
US,AR,lincoln,35.20105,-91.831833,ICU,0,13885,2019
US,AR,little river,35.20105,-91.831833,ICU,0,12494,2019
US,AR,logan,35.20105,-91.831833,ICU,0,21802,2019
US,AR,lonoke,35.20105,-91.831833,ICU,0,71568,2019
US,AR,madison,35.20105,-91.831833,ICU,0,15907,2019
US,AR,marion,35.20105,-91.831833,ICU,0,16374,2019
US,AR,miller,35.20105,-91.831833,ICU,0,43760,2019
US,AR,mississippi,35.20105,-91.831833,ICU,0.114853,43534,2019
US,AR,monroe,35.20105,-91.831833,ICU,0,7420,2019
US,AR,montgomery,35.20105,-91.831833,ICU,0,9059,2019
US,AR,nevada,35.20105,-91.831833,ICU,0,8528,2019
US,AR,newton,35.20105,-91.831833,ICU,0,7898,2019
US,AR,ouachita,35.20105,-91.831833,ICU,0.328165,24378,2019
